iso,sector,fuel,units,X1750,X1751,X1752,X1753,X1754,X1755,X1756,X1757,X1758,X1759,X1760,X1761,X1762,X1763,X1764,X1765,X1766,X1767,X1768,X1769,X1770,X1771,X1772,X1773,X1774,X1775,X1776,X1777,X1778,X1779,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975
afg,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,9,10,12,17,17,21,25,30,35,48,81,72,82,104,117,109,91,99,119,98,52,85,83,109
alb,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,12,20,21,31,43,60,68,75,79,92,89,88,99,77,91,108,130,143,161,188,243,270,295,319,330,344
aus,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,15.2,22.8,30.4,38,45.6,53.2,60.8,68.4,76,139,97,109,73,115,190,244,200,175,164,189,193,237,243,226,254,291,264,397,602,482,549,662,702,793,788,828,963,935,968,1094,1133,1082,1190,1253,1229,1358,1532,1546,2742,3058,3079,3016,3106,3240,3870,4166,4521,3911,4759,5251,5673,6111,6681,5948,5260,5666,6261,5933,7023,6319,6644,6782,7388,7706,7602,7886,7071,6358,5917,5281,5518,5846,6138,6810,7294,7777,7602,8680,7831,9335,9886,9497,9277,8828,9568,10254,10347,10130,12028,12581,12835,13163,13956,13987,13986,14090,14371,15472,16083,16368,16781,17393,18323,19394,19487,20580,20902,21282,20277,20268,21216,21756,23254,23729
aut,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,69,91,98,100,95,109,110,125,130,125,130,135,131,140,117,160,173,184,193,232,289,319,360,398,346,435,491,577,568,637,617,635,637,767,880,867,1010,1155,1330,1977,1601,1678,1741,1734,1604,1383,1459,977,1336,1648,1754,1984,2734,2692,2874,2441,2077,2117,1901,1888,2342,6359,2692,2790,3120,3019,3173,2998,3251,3163,3399,3453,3964,3824,4697,4833,5457,5776,6237,6631,6718,7559,7738,7013,7014,7426,7808,9328,11653,16384,11911,16044,13412,14107,16644,13552,9646,2480,942,911,823,3898,5198,4985,4765,5350,5064,4941,5339,5513,6302,4804,4639,3871,3572,3492,3506,3407,3865,1443,1509,1548,1517,1511,1595,1547,851,2700,3974,5640,6070,4744,5145,4747,4564,4992,5240,5453,5603,5075,4718,4926,4820,4936,5349,5168,4903,4597,4299,4199,4183,4858,4107,4267,4327,4532,3975
aze,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091275943,0.108344757,0.071457805,0.088379984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48616277,0,0,0,0,1.401549444,0,0,1.912180454,2.009126091,2.587752303,3.309299991,2.96526179,3.075533624,3.426315696,3.253105972,10.49843315,11.9843762,9.786916821,13.39837377,14.55404021,19.69426932,20.07412,18.35082298,21.92465436,24.62581015,29.77016031,29.1465533,38.28455264,38.0947608,44.67564606,44.76070433,46.58238373,53.021811,49.09717045,50.56529736,51.34091035,50.12017696,51.02484611,56.91542332,61.88257339,63.873494,67.96007866,78.8043484,84.63142376,87.50489435,90.03866296,104.5562955,116.1774874,140.6415188,155.9235939,149.4045529,144.5354549,146.4908578,166.6981236,160.3478382,180.9506597,204.8044138,204.163535,212.1756176,201.8084642,220.4190419,263.1783303,300.3290474,265.2105849,233.3810647,252.7934295,239.9573871,95.19103673,69.299536,65.79684877,76.53915206,93.98937356,103.9019225,133.2623663,127.5240347,203.1159927,257.9247397,297.8406033,308.6277076,367.6916517,438.5182338,539.2473591,628.8238239,776.4483468,897.1978084,1041.20181,1055.865636,1111.434357,1125.291485,1403.841123,1216.683855,759.3232543,1128.234061,934.7502669,1227.588071,1394.206786,1702.010294,1819.868815,2093.469318,2360.599336,2583.365547,2764.884654,2926.984709,3220.537913,3666.615304,3990.798333,4331.604161,4544.030838,4722.194581,4819.710852,4830.996033,4896.196414,5179.47795,5438.912659,5728.162552,6024.642344,6171.354115,6202.286801,6380.181097,6888.363589,7114.294574,7409.963095,7561.497195,7649.126416,7949.450834
bel,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691,1218,1287,1246,1203,1299,1528,1637,1671,1831,2109,2017,2096,1941,2129,2243,2447,2543,2261,2384,2547,2775,3114,3217,3564,3651,3606,3754,3944,4066,4152,4492,4461,4702,4935,5202,5603,6068,5486,5909,6754,6473,6984,7671,7073,7350,7183,6837,7434,7569,8304,8360,8853,9384,9244,9029,8762,9271,9840,10053,10869,10311,10297,9846,10871,10953,11539,11939,12305,12862,13555,12748,13334,14364,13742,13719,15692,15918,15788,15765,16727,16836,17679,18237,11074,9394,12498,9893,9204,12246,15053,13792,15085,19361,20512,20980,20885,24386,23144,25432,24541,21991,17510,18870,19333,18520,19157,23246,20240,19773,16921,17705,16600,15727,8964,10490,15141,20283,20903,19936,18612,21749,19929,19220,19904,20963,21873,21227,18219,18127,18533,18283,18707,19455,17746,16877,15882,15522,15957,15253,13373,11028,11498,12347,13225,10502
bgr,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,3,5,7,9,11,13,17,22,23,29,30,40,40,59,74,65,64,82,98,86,124,163,165,173,245,245,215,323,208,252,311,388,228,300,373,412,438,503,494,486,496,569,657,632,607,701,624,651,661,671,743,841,926,1119,1207,1460,1586,1181,1389,1358,1613,1654,2034,1816,1972,2285,2572,2751,2890,3061,3381,3718,4561,5083,5849,6749,7310,8766,9255,9483,10289,10725,11227,9041,8772,8954,9153,9044,9388
bih,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302848676,0,0,0,0,3.908546029,4.559970367,5.048538621,8.95708465,17.09988888,17.09988888,19.05416189,14.81990369,22.47413967,26.21982961,35.50262643,38.75755332,36.31283766,39.40461833,42.00765023,45.58732541,54.53919799,55.5132462,59.74300271,61.36793222,60.71395673,65.75701975,67.38181061,185.0482083,0,0,0,0,0,132.6123809,176.0511347,187.4348037,262.4331522,287.3174279,294.4673446,320.6511657,310.3934361,349.7525508,380.3255579,434.4839671,400.4765192,361.4293348,325.6372065,300.9071705,315.5394373,330.4965772,323.1712389,366.7525776,363.0051797,382.5147222,457.1556419,0,0,0,0,225.0656995,440.3686092,602.6535556,684.1157248,780.5364416,689.1407208,652.9282301,671.9684001,638.9902419,778.9728631,907.9054243,1051.227975,1133.755132,1116.068346,1284.335245,1397.610149,1486.446079,1519.301539,1688.85242,1907.684317,1884.0834,1795.970263,1661.517046,1679.614982,1676.620535,2177.065326,2420.554943,2265.218353,2274.130405,2330.925927,2511.950697
blr,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264177791,0.314831551,0.208467897,0.258851988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52036783,0,0,0,0,4.470091064,0,0,6.169239601,6.506597695,8.412075787,10.7576302,9.639255996,9.997719605,11.13801629,10.57495879,34.12753809,38.95793299,31.81459289,43.55445283,47.31120867,64.02068928,65.25548005,59.65351222,71.27106171,80.05178125,96.77465821,94.74748222,124.4526216,123.8356602,145.2283204,145.5048216,151.4266036,172.3594225,159.6014882,164.3739677,166.8952737,162.9270029,165.8678352,185.0164924,201.1633403,207.6352793,220.9196496,256.171408,275.1136381,284.454506,292.6910955,339.8839527,377.661273,457.1871556,506.8650068,485.6733943,469.8452948,476.2017839,541.8900972,521.2470615,588.2212212,665.7632781,663.6799668,689.7250728,656.0242946,712.6067967,846.3218696,960.7912556,844.1663621,739.2054847,796.8606835,752.8706749,297.3052307,215.4794041,203.7025165,235.6650875,287.855772,316.5672882,403.9759003,384.6824334,609.7776217,770.7082376,885.9335281,913.9471699,1084.141098,1285.90829,1572.877682,1824.660937,2241.667731,2577.562746,2976.960058,3004.805639,3148.558608,3173.671265,3942.128036,3397.901701,2109.32912,3117.906718,2570.188588,3358.802157,3796.435332,4612.970021,4909.969178,5623.079522,6313.144985,6723.571124,7000.688644,7214.57841,7737.089159,8598.216321,9147.281548,9714.210224,9975.217204,10145.26981,10126.90767,9918.788982,9818.051242,10147.20446,10425.3143,10765.29849,11126.05729,11220.012,11116.90223,11283.50205,12024.91267,12262.3811,12615.1336,12720.00587,12720.5764,13076.19822
can,1B1_Fugitive-solid-fuels,process,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,11,13,16,19,23,28,34,41,49,59,72,86,104,125,151,182,220,265,320,414,235,163,306,455,469,398,424,487,471,517,493,531,1389,1495,1775,2004,2320,2223,2337,2712,3556,3004,3301,3721,3704,3965,3778,3612,3917,3959,4203,5140,5526,6422,6939,7570,8957,9514,10098,12657,12778,12340,13880,16016,17724,20793,17694,15743,19659,21790,22887,19143,21832,20608,17318,23863,19438,18852,21039,22597,22272,22899,21698,16707,15757,15404,17782,17176,18789,20253,18141,20249,23121,25577,28788,30172,29969,27401,28858,29595,32233,27643,26424,26442,24522,22636,21857,19709,21420,17719,15629,14614,13547,12444,12836,12718,14170,14786,14351,15643,16533,16135,16052,15250,16964,14196,13239,16726
