iso,sector,fuel,units,X1750,X1751,X1752,X1753,X1754,X1755,X1756,X1757,X1758,X1759,X1760,X1761,X1762,X1763,X1764,X1765,X1766,X1767,X1768,X1769,X1770,X1771,X1772,X1773,X1774,X1775,X1776,X1777,X1778,X1779,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975
sdn,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.3023493,211.7935138,319.4835397,428.3825476,538.5007328,649.8483665,762.4357954,876.2734429,991.3718092,1107.741472,1225.393086,1344.337386,1464.586624,1586.150584,1709.040267,1833.266755,1958.841214,2085.768487,2214.064964,2343.741914,2425.121971,2503.504334,2578.956337,2651.525021,2721.266735,2788.237829,3105.716187,2970.638033,2827.956559,2678.21598,2521.451287,2557.422554,2591.156671,2622.708955,2584.15775,2539.844528,2702.649657,2865.576227,2971.688029,2973.21281,2970.259834,3119.271812,3277.956887,3446.926212,3626.814758,3818.282246,3921.653236,4028.492778,4139.002593,4253.388319,4357.141793,4456.106006,4549.399521,4636.320241,4716.158452,4788.472526,4852.75887,4908.909303,4956.693206,4996.145135,5026.119936,5047.62249,5060.660365,5053.009811,4997.521637,4927.328827,4894.861476,4844.220869,4771.595562,4727.63036,4893.774035,4988.264997,5092.29301,5203.122184,5320.596038
tha,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48002558,70.8275483,105.9913214,140.9276675,175.5822349,211.8013853,249.1837497,287.1490192,325.6428114,364.6369594,407.8408699,452.3874742,498.3060709,545.6942506,594.5227756,644.8209438,696.535127,753.8067643,804.183158,854.7125613,908.5757879,963.510503,1022.545315,1083.030354,1144.978598,1209.555258,1275.767955,1351.285855,1406.684462,1459.408811,1537.491581,1618.035919,1693.197463,1770.095944,1848.912944,1929.496614,2012.034745,2079.679295,2147.857854,2216.542459,2291.290661,2365.759992,2467.13225,2570.394824,2676.851863,2786.578276,2900.107511,3010.753592,3124.649877,3388.36397,3526.829904,3670.50108,3822.999932,3986.379208,4160.725455,4340.265522,4519.333926,4697.998348,4879.309113,5063.754134,5257.914482,5456.526932,5659.21762,5865.654568,6075.744887,6290.030705,6505.453883,6722.040997,6939.987901,7164.015718,7134.311027,7484.370944,7851.113736,8228.785028,13565.08119
ago,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.28274328,133.6891904,199.2280365,263.907923,327.7374399,390.7079936,452.8397636,514.1413093,574.6211466,634.2792452,680.6537428,724.3854454,765.5767089,804.3264858,840.7304315,907.3340982,975.3904288,1044.924654,1115.962405,1188.529713,1249.67025,1311.257634,1373.2748,1435.75334,1498.724975,1562.289479,1626.415316,1691.338968,1756.959868,1823.32998,1768.727506,1717.515955,1669.870775,1625.932475,1744.566084,1869.564694,1966.855951,2067.287493,2170.923534,2277.829862,2397.195081,2520.73928,2648.494534,2781.120323,2916.428303,2973.95861,3030.754145,3086.755542,3193.880678,3297.253233,3423.066084,3553.668924,3688.367672,3826.507211,3968.053083,4112.903619,4261.7293,4415.875439,4575.931446,4742.168228,4820.325145,4927.590223,5057.038994,5200.337526,5375.551196,5501.038831,5598.257133,5784.220546,5969.173836,6159.067876,6380.108526,6414.714081,6463.320315,6529.737613,6614.189862
ken,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.04845725,67.41394741,113.4243286,137.5621712,156.3713695,193.5491558,232.911106,274.5576171,318.5931944,365.1266084,449.1345707,572.0286504,723.465903,788.8441759,827.0708618,839.530504,881.7371596,965.6358558,933.6660948,927.8474314,1021.694822,1108.724759,1091.558138,1119.962205,1173.507403,1269.163164,1355.24285,1405.207271,1483.26667,1517.904793,1547.140886,1590.179717,1655.89963,1674.420052,1676.385864,1819.673294,1872.869425,1896.744841,2003.837537,2033.423561,2030.962744,2141.735088,2156.523484,2351.556239,2410.175773,3496.222107,3574.035191,3911.66247,4084.192731,4076.837928,4210.017497,4343.946362,4479.159483,4615.735117,4752.88849,4891.05153,5029.689943,5169.739551,5311.248069,5454.405767,5597.043442,5741.295174,5889.938705,6040.685747,6192.158113,6341.189301,6491.563404,6641.349518,6791.043,6967.407838,7163.061345,7424.646097,7699.507187,7987.058169,8287.397452
nga,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.398385,268.7767136,406.1652296,545.5965208,687.1055257,830.7295365,976.508196,1124.48349,1274.699734,1427.203559,1696.511974,1912.917054,2031.044945,2215.000668,2403.416346,2596.407405,2794.093265,2996.597364,3204.047182,3416.574261,3826.667164,4269.411705,4746.173146,5258.320334,5807.22571,6394.265313,7023.305097,7693.595829,8406.548926,9163.580519,9976.870949,10839.17985,11752.61664,12718.7898,13739.31174,14815.79879,15958.73968,17182.78695,18457.33659,19795.10992,21229.92486,22735.83407,24314.6638,25968.2434,27698.40545,29506.98582,31408.7978,33394.45514,35465.97054,37625.37462,39724.03106,41915.99087,44198.82201,46620.24842,49123.62455,51709.79268,54381.49313,57139.05946,59985.8351,62898.04657,65093.25675,67376.26616,69741.07449,72181.76647,74694.5001,77280.86348,79951.73362,82715.56788,85533.37629,88434.22649,89729.71541,91949.88595,94258.58249,96673.59029,99205.4325
moz,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9285526,51.04539604,75.36991214,98.92108387,121.7175039,143.7773829,165.1185581,185.7585008,205.714325,224.9939445,243.6289508,261.6283781,279.0078543,295.7826791,332.5162318,372.1535743,414.8922951,460.9424351,510.5272356,564.9969941,644.1970433,732.4158171,828.4793507,932.8422325,1017.047225,1105.954924,1199.697703,1298.541643,1392.228591,1496.896519,1610.524156,1730.282215,1851.109046,1995.283979,2146.459477,2304.913886,2470.694304,2643.955838,2824.853526,3034.240815,3177.620157,3337.471101,3500.724997,3668.190281,3839.457235,4014.519007,4192.917073,4375.538348,4561.934221,5016.476125,5259.855568,5516.373126,5785.447119,6067.622598,6363.549067,6674.360027,7000.563719,7342.839398,7701.375935,8076.956343,8379.741322,8696.910987,9026.490774,9357.343144,9715.309911,10079.82254,10433.9146,10902.87586,11275.25968,11573.58709,12264.7865,12177.08521,12118.70511,12104.57293,12141.86798
idn,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.8260527,799.7031625,1214.82262,1640.375772,2076.554014,2519.750206,2972.501673,3435.059319,3907.49335,4389.924247,4887.127119,5395.802003,5914.727493,6445.217524,6987.605207,7541.816518,8072.624991,8589.274449,9172.48629,9765.456439,10374.68939,10997.11516,11633.16845,12282.65346,12946.45568,13626.14804,14320.90581,15030.49719,15716.23159,16407.75368,17199.96922,18008.69311,18835.80089,19684.01611,20552.4688,21442.13608,22354.75016,23288.31974,24245.28176,25224.96,26276.9873,27356.33127,28328.98408,29076.9265,29627.11575,30611.78911,31703.41689,32870.15996,34157.73766,35480.67839,36795.9672,38152.64634,39545.2242,40971.19184,42430.85619,43922.22624,45442.86114,46998.00307,48597.60315,50185.61481,52241.16872,54371.28837,56578.12778,58867.56634,61243.93601,63706.55468,66252.81886,68880.59461,71582.86079,74356.57501,76109.73771,77332.72289,78577.34209,79718.88498,81156.78213
civ,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21558847,24.57887256,34.29615579,42.55349436,49.51852427,55.34213659,72.01480095,91.85822713,109.1430585,128.1032272,148.8984024,167.6580773,187.4906094,208.4517548,228.7134602,249.8556103,271.9152087,294.930919,318.9431232,343.9939798,354.0317894,363.3636463,373.7050646,383.3772796,392.3643776,400.6505464,488.087776,594.7438324,724.6950987,882.8509974,1074.88411,1088.812286,1121.498608,1153.849576,1178.296878,1201.90987,1274.116614,1308.153159,1340.220663,1371.88019,1402.370514,1440.770394,1479.122399,1487.578286,1494.534329,1065.22466,919.4141559,958.4173337,998.2077175,1038.783909,1077.857186,1118.271083,1160.163705,1203.662426,1249.026263,1296.532137,1346.614175,1399.639981,1451.263489,1505.685234,1563.135119,1623.387328,1686.090672,1750.66632,1828.341562,1912.544499,2003.247211,2101.937528,2203.562659,2312.533904,2421.257995,2506.448868,2594.752742,2684.714861,2777.553787
tza,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.71092939,120.0965942,184.2483785,251.2604473,321.2298255,456.5842642,549.265052,647.2741955,750.8537287,860.2549475,975.7411608,1097.585472,1197.816114,1299.465126,1402.548049,1507.080577,1613.078562,1720.558009,1829.535084,1940.02611,2044.483372,2153.221507,2262.857438,2373.375045,2484.758497,2596.992248,2839.017583,3144.305379,3278.0238,3413.148595,3549.37789,3659.331053,3768.489804,3876.808173,3984.240235,4090.673544,4219.308077,4375.480465,4476.314213,4577.466726,4675.952656,4772.856654,4952.819491,5136.850401,5325.05187,5517.530173,5824.386972,6146.50557,6484.644736,6528.276365,6784.273702,7049.250454,7323.78282,7609.03563,7905.73486,8214.594813,8536.259029,8870.500566,9217.93878,9580.797568,9962.155793,10360.19961,10775.25279,11210.75224,11663.68431,12128.61239,12630.61534,13152.46182,13687.50289,14243.4111,15097.71248,15122.19141,15182.97573,15278.23928,15408.61971
zmb,1B1_Fugitive-solid-fuels,biomass,kt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83222021,22.27432618,34.35214482,47.09247688,60.52313142,74.67296142,89.57190064,105.2510017,121.7424755,139.079732,157.2974219,176.4314809,196.519174,217.5991423,239.7114513,262.8976401,287.200773,312.6654929,339.3380757,367.2664872,396.5004419,427.1638578,459.2478151,492.8082315,527.903054,564.592329,602.9382749,643.0053571,684.8603651,728.5724927,774.2134207,821.8574022,871.5813508,923.464932,977.5906573,1034.043982,1093.088041,1154.661786,1218.861785,1285.78807,1355.544266,1428.237708,1494.605962,1555.9224,1618.373028,1681.952981,1746.657391,1812.481392,1879.420118,1947.468702,2024.333323,2104.395837,2187.387951,2273.096298,2361.400479,2452.277141,2545.896471,2642.398744,2742.020984,2844.971357,2951.490727,3061.412364,3171.839245,3270.079326,3367.85364,3464.299273,3559.425168,3653.30879,3746.82536,3876.039216,3927.088803,4062.874988,4202.791726,4348.708608,4497.958919
