iso,sector,fuel,units,X1750,X1751,X1752,X1753,X1754,X1755,X1756,X1757,X1758,X1759,X1760,X1761,X1762,X1763,X1764,X1765,X1766,X1767,X1768,X1769,X1770,X1771,X1772,X1773,X1774,X1775,X1776,X1777,X1778,X1779,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860
aus,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.326050504,1.326050504,2.652101008,1.989075756,3.315126259,2.652101008,3.315126259,1.326050504,0.663025252,0.663025252,2.652101008,2.652101008,2.652101008,2.652101008,3.315126259
aut,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343746681,0.687493361,1.031240042,1.374986723,1.718733404,2.062480084,2.406226765,2.749973446,3.093720126,3.437466807,3.781213488,4.124960168,4.468706849,4.81245353,5.156200211,5.499946891,5.843693572,6.187440253,6.531186933,6.874933614,6.799532533,6.724131451,6.64873037,6.573329288,6.313953207,6.054577126,6.073501044,6.277224963,6.008498881,5.9537228
bel,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252519866,0.505039732,0.757559599,1.010079465,1.262599331,1.515119197,1.767639064,2.02015893,2.272678796,2.525198662,2.777718529,3.030238395,3.282758261,3.535278127,3.787797993,4.04031786,4.292837726,4.545357592,4.797877458,5.050397325,1.437201857,5.64225639,6.271760923,6.513790455,6.850419988,7.51347452,8.000254053,10.69775859,9.208388118,7.431917651
chl,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,8.48,10.6,9.54,9.54,10.6,12.72,8.48,15.9,13.78,15.9,20.14,22.26,25.44,26.5,24.38,36.04
cub,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163476368,0.326952735,0.490429103,0.65390547,0.817381838,0.980858206,1.144334573,1.307810941,1.471287308,1.634763676,1.798240044,1.961716411,2.125192779,2.288669146,2.452145514,2.615621882,2.779098249,2.942574617,3.106050984,3.269527352,2.942574617,2.615621882,2.288669146,1.961716411,1.634763676,1.307810941,0.980858206,0.65390547,0.326952735,0
deu,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327777053,0.655554107,0.98333116,1.311108213,1.638885266,1.96666232,2.294439373,2.622216426,2.949993479,3.277770533,3.605547586,3.933324639,4.261101692,4.588878746,4.916655799,5.244432852,5.572209905,5.899986959,6.227764012,6.555541065,7.116106711,6.813687755,6.687535601,8.12194835,9.946502324,11.44691234,12.90889247,14.60729429,16.05256954,15.33244198,14.8378736,15.21715232,17.49784479,18.23385498,22.00911508,19.95900192,21.69583362,25.63649803,27.19706293,26.1310664,28.95059952,32.731702,35.94639646
esp,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4041576,0.8083152,1.2124728,1.6166304,2.020788,2.4249456,2.8291032,3.2332608,3.6374184,4.041576,4.4457336,4.8498912,5.2540488,5.6582064,6.062364,6.4665216,6.8706792,7.2748368,7.6789944,8.083152,8.370137859,8.657123718,8.944109576,9.231095435,9.518081294,9.805067153,10.09205301,10.37903887,10.66602473,10.95301059
fra,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2351916,0.4703832,0.7055748,0.9407664,1.175958,1.4111496,1.6463412,1.8815328,2.1167244,2.351916,2.5871076,2.8222992,3.0574908,3.2926824,3.527874,3.7630656,3.9982572,4.2334488,4.4686404,4.703832,4.975992,5.248152,5.520312,5.792472,6.064632,6.336792,6.608952,6.881112,7.153272,7.425432
gbr,2C_Metal-production,process,ktS,12,14,15.375,16.5,17.75,18,20.375,21.625,19,21.25,20.125,21.625,20.5,22.75,27.25,21.375,27,23.5,30.125,33.875,39.125,4.25,4.375,4.25,4.625,4.625,4.5,4.375,3.875,4.75,3.625,4.5,4.375,5.5,5.625,5.625,6.125,6.15,6.175,6.2,6.225,6.25,6.275,6.3,6.325,6.35,6.375,6.625,7.125,6.25,6.625,6.75,6.625,7.125,6.875,7.875,8.75,8.5,8.625,8.625,7.25,7.75,8.5,8.75,8.125,8.25,8.5,8.25,8.625,8.625,9.5,10.75,11.5,10,9.875,10.375,12.04745334,14.46990669,14.64236003,15.06481337,17.23726672,19.53472006,20.0821734,19.62962675,20.30208009,22.34953344,22.14698678,21.81944012,23.36689347,25.28934681,24.08680015,23.5092535,24.05670684,25.97916018,27.02661353,29.82406687,27.9456058,29.4783586,30.40225105,30.35751188,31.46568,32.11651066,31.46637221,30.5858345,31.58998779,43.71706443,49.42786296,39.34483328,35.82107927,36.26388024,36.53901869
jap,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
