Data_provider,Substance,Year,Country,Sector,Annual
EDGAR,CO,2005,ARE,HTAPv3_2.1_Domestic_Aviation,595.8980178
EDGAR,CO,2006,ARE,HTAPv3_2.1_Domestic_Aviation,664.0670198
EDGAR,CO,2007,ARE,HTAPv3_2.1_Domestic_Aviation,696.3410208
EDGAR,CO,2008,ARE,HTAPv3_2.1_Domestic_Aviation,746.6410223
EDGAR,CO,2009,ARE,HTAPv3_2.1_Domestic_Aviation,728.6940217
EDGAR,CO,2010,ARE,HTAPv3_2.1_Domestic_Aviation,760.9660227
EDGAR,CO,2011,ARE,HTAPv3_2.1_Domestic_Aviation,793.3200236
EDGAR,CO,2012,ARE,HTAPv3_2.1_Domestic_Aviation,743.0190221
EDGAR,CO,2013,ARE,HTAPv3_2.1_Domestic_Aviation,800.4850239
EDGAR,CO,2014,ARE,HTAPv3_2.1_Domestic_Aviation,926.1180276
EDGAR,CO,2015,ARE,HTAPv3_2.1_Domestic_Aviation,1137.871034
EDGAR,CO,2016,ARE,HTAPv3_2.1_Domestic_Aviation,1152.278034
EDGAR,CO,2017,ARE,HTAPv3_2.1_Domestic_Aviation,1220.929036
EDGAR,CO,2018,ARE,HTAPv3_2.1_Domestic_Aviation,1115.628033
EDGAR,CO,2006,BHR,HTAPv3_2.1_Domestic_Aviation,32.27379096
EDGAR,CO,2007,BHR,HTAPv3_2.1_Domestic_Aviation,35.89548107
EDGAR,CO,2008,BHR,HTAPv3_2.1_Domestic_Aviation,35.89548107
EDGAR,CO,2009,BHR,HTAPv3_2.1_Domestic_Aviation,25.11075075
EDGAR,CO,2010,BHR,HTAPv3_2.1_Domestic_Aviation,78.95390235
EDGAR,CO,2011,BHR,HTAPv3_2.1_Domestic_Aviation,82.57580246
EDGAR,CO,2012,BHR,HTAPv3_2.1_Domestic_Aviation,104.0646031
EDGAR,CO,2013,BHR,HTAPv3_2.1_Domestic_Aviation,161.5298048
EDGAR,CO,2014,BHR,HTAPv3_2.1_Domestic_Aviation,147.2035044
EDGAR,CO,2015,BHR,HTAPv3_2.1_Domestic_Aviation,118.4713035
EDGAR,CO,2016,BHR,HTAPv3_2.1_Domestic_Aviation,114.8492034
EDGAR,CO,2017,BHR,HTAPv3_2.1_Domestic_Aviation,98.67240294
EDGAR,CO,2018,BHR,HTAPv3_2.1_Domestic_Aviation,102.303503
EDGAR,CO,2002,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2003,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2004,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2005,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2006,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2007,ISR,HTAPv3_2.1_Domestic_Aviation,21.65003065
EDGAR,CO,2013,ISR,HTAPv3_2.1_Domestic_Aviation,72.83720217
EDGAR,CO,2014,ISR,HTAPv3_2.1_Domestic_Aviation,73.48120219
EDGAR,CO,2015,ISR,HTAPv3_2.1_Domestic_Aviation,77.90750232
EDGAR,CO,2016,ISR,HTAPv3_2.1_Domestic_Aviation,83.7830025
EDGAR,CO,2017,ISR,HTAPv3_2.1_Domestic_Aviation,84.66820252
EDGAR,CO,2018,ISR,HTAPv3_2.1_Domestic_Aviation,80.04060239
EDGAR,CO,2000,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2001,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2002,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2003,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2004,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2005,JOR,HTAPv3_2.1_Domestic_Aviation,31.54946094
EDGAR,CO,2006,JOR,HTAPv3_2.1_Domestic_Aviation,31.54946094
EDGAR,CO,2007,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2008,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2009,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2010,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2011,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2012,JOR,HTAPv3_2.1_Domestic_Aviation,31.54946094
EDGAR,CO,2013,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2014,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2015,JOR,HTAPv3_2.1_Domestic_Aviation,31.54946094
EDGAR,CO,2016,JOR,HTAPv3_2.1_Domestic_Aviation,28.00806083
EDGAR,CO,2017,JOR,HTAPv3_2.1_Domestic_Aviation,27.20330081
EDGAR,CO,2018,JOR,HTAPv3_2.1_Domestic_Aviation,24.25664072
EDGAR,CO,2000,SAU,HTAPv3_2.1_Domestic_Aviation,2218.356066
EDGAR,CO,2001,SAU,HTAPv3_2.1_Domestic_Aviation,2096.267062
EDGAR,CO,2002,SAU,HTAPv3_2.1_Domestic_Aviation,2132.157064
EDGAR,CO,2003,SAU,HTAPv3_2.1_Domestic_Aviation,2099.886063
EDGAR,CO,2004,SAU,HTAPv3_2.1_Domestic_Aviation,2175.306065
