"Source","Sector","SubSector","2000","2001","2002","2003","2004","2005","2006"
"Ore and Mineral Industries","","","2054.954903","2363.6128099999996","2405.95355","1805.1306909999998","1341.2826220000002","1167.8286530000003","1396.042158"
"Ore and Mineral Industries","Aluminium Industry","","34.4785","39.301501","42.712469","33.703390999999996","7.289767","13.315000000000001","0"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","24.4227","24.4226","24.4225","25.9","0","0","0"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","8.0798","12.902901","16.313969","5.946391","2.304767","8.33","0"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","1.976","1.976","1.976","1.857","4.985","4.985","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","3.8702","19.446259","56.004431","3.98008","3.93742","3.896","0"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","3.8702","19.446259","56.004431","3.98008","3.93742","3.896","0"
"Ore and Mineral Industries","Cement and Concrete Industry","","625.3512139999999","599.8023069999999","307.42499899999996","583.392244","322.97957699999995","335.065","885.2"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","570.5101","539.2656","262.2937","548.1168","319.337","300.045","870.725"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0.921114","8.633248","16.505495","0.523945","0.100829","0.045","0"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","5.2506","4.099393","3.225804","8.761099","3.531748","3.385","0"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","48.6694","47.804066","25.4","25.9904","0.01","31.59","14.475"
"Ore and Mineral Industries","Foundries","","14.187050000000001","21.002074","28.376936999999998","8.470783","7.530524000000001","8.524799999999999","0"
"Ore and Mineral Industries","Foundries","Die Casting","0.8743","0.586099","0.297899","0.5291","0","0","0"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","11.788244","10.566275","9.581644","7.381083","7.499024","8.4933","0"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","1.524506","9.8497","18.497394","0.5606","0.0315","0.0315","0"
"Ore and Mineral Industries","Iron and Steel Industry","","231.819324","144.480791","124.19978900000001","124.080766","84.344739","85.608","73.694158"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","129.7331","120.451933","117.932766","107.2965","81.3615","83.605","73.694158"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","101.821524","23.892208","6.258098","16.475292","2.975409","1.996","0"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0.2647","0.13665","0.008925","0.308974","0.00783","0.007","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","150.093","150.490166","17.912833","18.31","18.31","18.31","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","150.093","150.490166","17.912833","18.31","18.31","18.31","0"
"Ore and Mineral Industries","Mineral Products Industry","","101.974948","130.834401","128.817003","82.713504","95.368354","96.1846","94.455"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","0.75","0.375","0","0.7475","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","41.099948","41.679175","42.262452","1.052346","0.855183","0.903","0"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","60.125","88.780226","86.554551","80.913658","94.513171","95.2816","94.455"
"Ore and Mineral Industries","Mining and Rock Quarrying","","430.337407","877.269681","1333.013737","495.411096","285.949613","86.15835299999999","27.245"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","13.2876","13.258399","13.229199","13.2","13.2","13.2","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","6.0061","6.08665","6.1672","6.56","4.41","4.36","0"
