"Source","Sector","SubSector","2004","2005","2006","2007","2008","2009","2010"
"Ore and Mineral Industries","","","1165.04","1196.52","1410.44","1226.1","2067.3199999999997","2092.3199999999997","2120.44"
"Ore and Mineral Industries","Aluminium Industry","","7.609999999999999","13.32","0","86.9","80.28","0","0"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","2.3","8.33","0","0","0","0","0"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","5.31","4.99","0","86.9","80.28","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","3.94","3.89","0","0","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","3.94","3.89","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","","322.97999999999996","335.08","885.21","369.71","306.11","237.14","379.45"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","319.34","300.05","870.73","356.02","292.79","224.14","355.11"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0.1","0.05","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","3.53","3.39","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","0.01","31.59","14.48","13.69","13.32","13","24.34"
"Ore and Mineral Industries","Foundries","","9.24","10.33","0","0","0","0","0"
"Ore and Mineral Industries","Foundries","Die Casting","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","9.1","10.19","0","0","0","0","0"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","0.14","0.14","0","0","0","0","0"
"Ore and Mineral Industries","Iron and Steel Industry","","108.08","109.67","88.09","95.33","105.78","92","96.14"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","81.36","83.61","73.69","82.22","92.95","84.56","82.38"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","26.71","26.05","14.4","13.11","12.83","7.44","13.76"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0.01","0.01","0","0","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","18.31","18.31","0","0","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","18.31","18.31","0","0","0","0","0"
