"Source","Sector","SubSector","1993","1994","1995","1996","1997","1998","1999"
"Ore and Mineral Industries","","","1749.2339650000004","1817.1200500000002","2946.7030380000006","3365.614806","2653.77199","2826.2401959999997","2331.6703380000004"
"Ore and Mineral Industries","Aluminium Industry","","29.855905999999997","30.408401999999995","28.641494","30.894640999999996","31.435553999999996","32.111691","32.336760999999996"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","24.4227","24.4227","24.4227","24.4227","24.4227","24.4227","24.4227"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","4.067746","4.262561","3.106214","4.936241","5.502204","5.958177","6.104355"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","1.36546","1.723141","1.11258","1.5357","1.51065","1.730814","1.809706"
"Ore and Mineral Industries","Asphalt Paving Industry","","3.1912","3.1912","3.1912","3.213163","3.23845","3.255243","3.271562"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","3.1912","3.1912","3.1912","3.213163","3.23845","3.255243","3.271562"
"Ore and Mineral Industries","Cement and Concrete Industry","","604.3743390000001","608.920443","617.661468","610.408938","612.372527","622.553418","625.575943"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","566.7601","566.7601","566.7601","566.7601","566.7601","566.7601","566.7601"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0.650114","0.650114","0.650114","0.650114","0.650114","0.650114","0.650114"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","3.037175","2.97276","3.744266","3.515117","4.235778","4.840076","5.100497"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","33.92695","38.537469","46.506988","39.483607","40.726535","50.303128","53.065232"
"Ore and Mineral Industries","Foundries","","13.054227","12.979256","13.253051000000001","13.431030999999999","13.702962000000001","14.067433","14.229527000000001"
"Ore and Mineral Industries","Foundries","Die Casting","0.473476","0.413069","0.542621","0.613342","0.703139","0.83049","0.858789"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","11.752415","11.833903","11.762244","11.739593","11.772192","11.792607","11.870967"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","0.828336","0.732284","0.948186","1.078096","1.227631","1.444336","1.499771"
"Ore and Mineral Industries","Iron and Steel Industry","","212.61248500000002","219.61978000000002","277.36617900000005","322.808101","322.58294","301.101331","309.423607"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","120.262781","122.97696","184.195749","223.409937","221.438006","202.488201","207.8201"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","92.21123","96.522013","93.011734","99.218784","100.939292","98.370243","101.352343"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0.138474","0.120807","0.158696","0.17938","0.205642","0.242887","0.251164"
"Ore and Mineral Industries","Iron Ore Pelletizing","","150.093","150.093","150.093","150.093","150.093","150.093","150.093"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","150.093","150.093","150.093","150.093","150.093","150.093","150.093"
"Ore and Mineral Industries","Mineral Products Industry","","86.158422","84.39601300000001","180.86661","127.47926700000001","256.341957","149.31034599999998","122.400322"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","0.406162","0.354342","0.465476","0.526144","0.603175","0.712418","0.736695"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","40.968364","41.019134","41.100951","41.027721","41.023565","41.119979","41.143569"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","44.783896","43.022537","139.300183","85.925402","214.715217","107.477949","80.520058"
"Ore and Mineral Industries","Mining and Rock Quarrying","","428.25187","477.544362","440.76062","452.105714","420.50330599999995","451.21067","416.544989"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","13.2876","13.2876","13.2876","13.2876","13.2876","13.2876","13.2876"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","6.0061","6.0061","6.0061","6.0061","6.0061","6.0061","6.0061"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","0.1635","0.1635","0.1635","0.1635","0.1635","0.1635","0.1635"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","199.281152","199.281152","199.0714","214.0754","207.8994","182.5914","183.4564"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","1.9176","1.9176","1.9176","1.9176","1.9176","1.9176","1.9176"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","21.255929","70.555951","23.983913","25.137231","4.892882","42.829247","0.37225"
"Ore and Mineral Industries","Mining and Rock Quarrying","Silica Production","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","186.339989","186.332459","196.330507","191.518283","186.336224","204.415223","211.341539"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","221.64251600000003","229.967594","1234.869416","1655.180951","843.501294","1102.537064","657.794627"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","208.154232","215.758478","1222.130606","1642.505117","826.137271","1087.124867","641.598896"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","2.583186","2.94983","3.557832","3.006511","3.052921","3.802453","4.013623"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","10.905098","11.259286","9.180978","9.669323","14.311102","11.609744","12.182108"
"Oil and Gas Industry","","","1152.2384260000001","1289.7702379999998","1503.885507","1153.3717379999998","2281.0644829999997","2372.17185","1807.2408990000001"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","364.17998299999994","318.75828299999995","350.77092600000003","298.652393","397.534421","282.207402","304.32843500000007"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","356.064357","310.68197","340.450888","288.802092","387.66899","272.361208","296.263071"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","0.1098","0.1098","2.3868","1.9068","1.9068","1.9028","0.1378"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Product Pipelines","0","0","0","0","0","0","0"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","0.107379","0.11467","0.119735","0.123645","0.125733","0.130003","0.132388"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","7.898447","7.851843","7.813503","7.819856","7.832898","7.813391","7.795176"
"Oil and Gas Industry","Upstream Oil and Gas Industry","","788.058443","971.0119550000001","1153.1145809999998","854.719345","1883.5300620000003","2089.964448","1502.9124640000002"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Accidents and Equipment Failures","0","0","0","0","0","0","0"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Disposal and Waste Treatment","0.053258","0.054644","0.056577","0.060327","0.066574","0.068749","0.060831"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Heavy Crude Oil Cold Production","18.142128","19.894172","21.268558","20.365553","22.364827","22.344846","23.461777"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Light/Medium Crude Oil Production","9.909495","10.752363","11.314208","11.483906","12.841766","15.771378","17.455575"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Production and Processing","168.568027","189.355259","201.965207","206.885752","230.58277","239.175394","251.852229"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Transmission and Storage","1.418432","1.51406","1.5805","2.141789","2.169171","2.225186","2.256459"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands In-Situ Extraction","101.149114","103.586814","116.018411","126.348974","151.108764","157.595908","146.06076"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands Mining, Extraction and Upgrading","488.771828","645.791027","800.852","487.361","1464.304","1652.726","1061.699"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Petroleum Liquids Storage","0","0","0","0","0","0","0"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Petroleum Liquids Transportation","0","0","0","0","0","0","0"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Well Drilling/Servicing/Testing","0.046161","0.063616","0.05912","0.072044","0.09219","0.056987","0.065833"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Flaring","0","0","0","0","0","0","0"
"Electric Power Generation (Utilities)","","","863.4228209999999","1005.684887","1469.489624","1303.934135","1273.862805","1325.3155689999999","1139.078165"
"Electric Power Generation (Utilities)","Coal","","66.624606","56.807898","430.764946","315.494948","179.898962","154.84387","129.09264"
"Electric Power Generation (Utilities)","Coal","Coal","66.624606","56.807898","430.764946","315.494948","179.898962","154.84387","129.09264"
"Electric Power Generation (Utilities)","Diesel","","3.051668","2.878428","3.294816","2.693792","4.171419","4.888611","4.615207"
"Electric Power Generation (Utilities)","Diesel","Diesel","3.051668","2.878428","3.294816","2.693792","4.171419","4.888611","4.615207"
"Electric Power Generation (Utilities)","Natural Gas","","298.935366","248.315576","250.467457","228.909184","295.476289","342.233964","364.777771"
"Electric Power Generation (Utilities)","Natural Gas","Natural Gas","298.935366","248.315576","250.467457","228.909184","295.476289","342.233964","364.777771"
"Electric Power Generation (Utilities)","Waste Materials","","0.232643","0.29791","0.455664","0.520777","0.625553","0.784081","0.899126"
"Electric Power Generation (Utilities)","Waste Materials","Waste Materials","0.232643","0.29791","0.455664","0.520777","0.625553","0.784081","0.899126"
"Electric Power Generation (Utilities)","Other (Electric Power Generation)","","494.578538","697.385075","784.506741","756.315434","793.690582","822.565043","639.693421"
"Electric Power Generation (Utilities)","Other (Electric Power Generation)","Other (Electric Power Generation)","494.578538","697.385075","784.506741","756.315434","793.690582","822.565043","639.693421"
"Manufacturing","","","18478.444157","19902.458825","26587.27503100001","26163.574162000008","25208.257740999998","26024.005641999993","24793.123876"
"Manufacturing","Abrasives Manufacturing","","0.7552","0.7552","0.7552","0.7552","0.7552","0.7552","0.7552"
"Manufacturing","Abrasives Manufacturing","Abrasives Manufacturing","0.7552","0.7552","0.7552","0.7552","0.7552","0.7552","0.7552"
"Manufacturing","Bakeries","","0.1095","0.1095","0.1095","0.1095","0.1095","0.1095","0.1095"
"Manufacturing","Bakeries","Bakeries","0.1095","0.1095","0.1095","0.1095","0.1095","0.1095","0.1095"
"Manufacturing","Biofuel Production","","0","0","0","0","0","0","0"
"Manufacturing","Biofuel Production","Biofuel Production","0","0","0","0","0","0","0"
"Manufacturing","Chemicals Industry","","9101.690005999999","10579.699072","17248.626143999998","16925.376075000004","16203.347297","17417.608501","15619.878851000001"
"Manufacturing","Chemicals Industry","Chemical Manufacturing","1883.565351","2269.058485","2460.071129","2454.447849","2481.107379","2080.576567","2119.867445"
"Manufacturing","Chemicals Industry","Cleaning Compound Manufacturing","12.3529","12.3529","12.6519","12.6259","12.5799","12.4909","12.1049"
"Manufacturing","Chemicals Industry","Fertilizer Production","7014.588569","8110.348323","14561.094166","14267.289066","13477.803004","15097.825984","13254.813204"
"Manufacturing","Chemicals Industry","Paint and Varnish Manufacturing","2.794766","2.794305","2.799732","3.619271","3.781856","4.447694","3.67214"
"Manufacturing","Chemicals Industry","Petrochemical Industry","74.728685","74.717817","74.741126","74.75385","74.940006","75.192917","86.19801"
"Manufacturing","Chemicals Industry","Plastics and Synthetic Resins Fabrication","103.642103","103.507724","127.643772","105.157651","123.905092","131.721646","129.309341"
"Manufacturing","Chemicals Industry","Other (Chemical Industry)","10.017632","6.919518","9.624319","7.482488","29.23006","15.352793","13.913811"
"Manufacturing","Electronics","","39.586332","42.398182","58.958116","69.526143","65.450405","80.17545","87.677423"
"Manufacturing","Electronics","Electronics","39.586332","42.398182","58.958116","69.526143","65.450405","80.17545","87.677423"
"Manufacturing","Food Preparation","","207.417251","196.431712","314.889525","325.274286","321.123361","337.029022","358.312964"
"Manufacturing","Food Preparation","Food Preparation","207.417251","196.431712","314.889525","325.274286","321.123361","337.029022","358.312964"
"Manufacturing","Glass Manufacturing","","93.764034","93.175788","162.570101","165.452248","159.552052","100.675632","117.527381"
"Manufacturing","Glass Manufacturing","Glass Manufacturing","93.764034","93.175788","162.570101","165.452248","159.552052","100.675632","117.527381"
"Manufacturing","Grain Industry","","6.594541","6.388317000000001","6.389683000000001","6.2447040000000005","6.489444","6.283347","6.296228"
"Manufacturing","Grain Industry","Grain Processing","5.2281","5.2281","5.2281","5.2271","5.2271","5.2271","5.2271"
"Manufacturing","Grain Industry","Warehousing and Storage","1.366441","1.160217","1.161583","1.017604","1.262344","1.056247","1.069128"
"Manufacturing","Metal Fabrication","","51.48494","49.584093","56.779319","59.322298","63.570552","93.332489","76.46698"
"Manufacturing","Metal Fabrication","Metal Fabrication","51.48494","49.584093","56.779319","59.322298","63.570552","93.332489","76.46698"
"Manufacturing","Plastics Manufacturing","","29.624622","29.493553","9.848843","10.208331","11.885969","14.828733","20.364412"
"Manufacturing","Plastics Manufacturing","Plastics Manufacturing","29.624622","29.493553","9.848843","10.208331","11.885969","14.828733","20.364412"
"Manufacturing","Pulp and Paper Industry","","3779.680441","3855.581631","3335.706642","3269.219031","3359.627325","3155.641243","3472.211369"
"Manufacturing","Pulp and Paper Industry","Converted Paper Product Manufacturing","7.729331","7.969698","7.621704","7.916781","8.397379","22.322173","7.649776"
"Manufacturing","Pulp and Paper Industry","Pulp and Paper Product Manufacturing","3771.95111","3847.611933","3328.084938","3261.30225","3351.229946","3133.31907","3464.561593"
"Manufacturing","Textiles","","16.117608","15.033352","19.473412","21.295634","23.646302","27.59269","28.169959"
"Manufacturing","Textiles","Textiles","16.117608","15.033352","19.473412","21.295634","23.646302","27.59269","28.169959"
"Manufacturing","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","","84.014985","73.788479","130.191766","109.773323","128.360935","149.014202","166.688436"
"Manufacturing","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","84.014985","73.788479","130.191766","109.773323","128.360935","149.014202","166.688436"
