"EMF30 sectors",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Activity data: ENE",,,,,,,,,,,,,,,
"Scenario: ECLIPSE_V6b_CLE_base",,,,,,,,,,,,,,,
"Region: All EMF Regions",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Region","EMF30 sector","EMF30 unit","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AFRI_EAST","Power_Gen_Coal","PJ",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_Coal_Old","PJ","19.328","20.259","12.178","16.693","6.934","7.221","10.197","15.413","19.851","20.266","20.48","25.147","28.737"
"AFRI_EAST","Power_Gen_Coal_New","PJ",,,"0","0","19.704","19.921","27.072","44.53","81.746","99.026","129.604","193.477","269.214"
"AFRI_EAST","Power_Gen_Coal_IGCC_CCS","PJ",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_HLF","PJ","58.946","74.593","85.997","112.402","155.739","174.531","227.305","223.064","223.307","226.913","243.086","260.738","288.996"
"AFRI_EAST","Power_Gen_LLF","PJ","4.659","4.926","3.218","3.373","3.453","1.891","4.11","5.85","4.855","2.968","2.03","1.8","1.412"
"AFRI_EAST","Power_Gen_HLF_CCS","PJ",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_NatGas","PJ","2.256","11.11","0","12.176","23.18","29.009","34","34.793","60.347","115.631","180.559","269.019","396.59"
"AFRI_EAST","Power_Gen_Bio_Trad","PJ",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_Bio_Trad_Old","PJ","1.372","1.323","2.129","2.066",,"5.403","6.392","10.33","21.566","32.292","41.937","50.377","58.049"
"AFRI_EAST","Power_Gen_Bio_Trad_New","PJ",,,"8.97","11.715","16.596","13.985","9.91","20.168","34.462","48.086","60.937","72.657","83.975"
"AFRI_EAST","Transformations_Coal","PJ","1.92","2.827",,,,,,,,,,,
"AFRI_EAST","Transformations_HLF","PJ","7.942","6.712","1.647","3.724","8.332","1.355","2.945","4.192","3.479","2.126","1.455","1.289","1.012"
"AFRI_EAST","Transformations_HLF_Refinery","PJ",,,,,,,,,,,,,
"AFRI_EAST","Transformations_LLF","PJ",,,,,,,,,,,,,
"AFRI_EAST","Transformations_NatGas","PJ","5.088","7.189",,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Bio_Trad_Heat","PJ",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Bio_Trad_Cook","PJ","2165.018","2458.273","2685.575","3442.793","3877.56","4331.229","4433.924","4690.221","4866.433","4933.252","4863.447","4847.599","4874.467"
"AFRI_EAST","End_Use_Services_Bio_Trad_Heat","PJ","31.848","34.171","41.054","62.294","77.448","71.973","90.528","90.935","96.651","101.864","103.898","104.624","97.945"
"AFRI_EAST","End_Use_Residential_Bio_Mod","PJ",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Coal_Heat","PJ","0.281","0.262","0.057","0.061","0.089","0.108","0.059","0.144","0.242","0.346","0.455","0.564","0.671"
"AFRI_EAST","End_Use_Residential_Coal_Cook","PJ","1.965","1.834","0.402","0.424","0.623","0.759","0.415","1.011","1.693","2.422","3.182","3.949","4.698"
"AFRI_EAST","End_Use_Services_Coal_Heat","PJ","3.176","3.025","0.108","0.121","0.178","0.217","0.119","0.289","0.484","0.692","0.909","1.128","1.342"
"AFRI_EAST","End_Use_Residential_HLF","PJ","15.104","15.836","7.407","8.165","5.675","8.192","2.659","2.749","11.41","17.622","21.056","24.393","28.27"
"AFRI_EAST","End_Use_Residential_LLF","PJ","45","51.545","50.583","58.363","73.224","76.406","100.429","117.338","151.415","204.044","282.952","389.668","531.297"
"AFRI_EAST","End_Use_Residential_NatGas","PJ",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Industry_Coal","PJ","18.918","12.967","6.485","8.717","25.938","52.672","53.901","73.374","101.441","139.524","188.12","245.211","310.464"
"AFRI_EAST","End_Use_Industry_HLF","PJ","59.129","51.895","40.806","46.681","58.855","52.881","65.589","87.039","101.644","118.236","138.743","161.011","184.259"
"AFRI_EAST","End_Use_Industry_LLF","PJ","2.074","3.979","3.48","3.504","5.349","4.892","6.135","6.908","8.048","9.503","11.228","13.06","14.98"
"AFRI_EAST","End_Use_Industry_NatGas","PJ","15.852","26.817","0.024","2.299","11.773","10.313","15.162","20.587","27.144","35.597","46.112","57.83","71.659"
"AFRI_EAST","End_Use_Industry_Bio_Trad","PJ","202.686","236.011","128.937","120.644","141.099","179.766","201.148","224.234","260.806","309.414","368.463","428.37","485.659"
"AFRI_EAST","CEMENT","Mt","3.822","4.23","4.892","6.716","14.567","25.085","33.462","41.249","52.471","66.078","82.816","99.398","117.208"
"AFRI_EAST","STEEL","Mt","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"AFRI_EAST","CUSM","Mt","0.003","0.003","0.003","0.003","0.008","0.05","0.052","0.054","0.064","0.073","0.077","0.098","0.121"
"AFRI_EAST","PAPER","Mt","0.156","0.163","0.172","0.212","0.07","0.068","0.11","0.142","0.19","0.254","0.334","0.43","0.543"
"AFRI_EAST","CHEM","Mt",,,"0.082","0.083","0.179","0.16","0.151","0.162","0.186","0.212","0.221","0.281","0.349"
"AFRI_EAST","CHEMBULK","Mt",,,,,,,,,,,,,
"AFRI_EAST","AACID","Mt",,,,,,,,,,,,,
"AFRI_EAST","NACID","Mt",,,"0.027","0.029","0.035","0.035","0.04","0.051","0.068","0.09","0.117","0.148","0.184"
"AFRI_EAST","Losses_Coal","Mt","0.698","0.62","0.295","0.282","0.314","0.405","0.605","0.771","0.973","1.27","1.707","2.158","2.768"
"AFRI_EAST","Losses_Prod_Oil","Mt",,,,,,,,,,,,,
"AFRI_EAST","Losses_Prod_Conventional_Gas","bln m3",,,,,,,,,,,,,
"AFRI_EAST","Losses_Prod_Shale_Gas","bln m3",,,,,,,,,,,,,
"AFRI_EAST","Losses_Distribution_Use","bln m3",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_LDT_HLF","PJ",,"1.055","18.252","29.895","29.038","40.886","51.407","51.607","52.674","57.627","68.77","92.173","128.624"
"AFRI_EAST","End_Use_Transport_LDT_LLF","PJ","43.775","44.979","60.894","73.599","106.576","163.783","201.534","220.166","244.005","269.864","305.548","365.602","459.831"
"AFRI_EAST","End_Use_Transport_HDT_HLF","PJ","97.834","95.417","86.62","130.51","209.047","269.749","361.56","421.628","491.999","565.288","656.192","725.844","797.381"
"AFRI_EAST","End_Use_Transport_HDT_LLF","PJ",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_MC_LLF","PJ","6.579","5.301","4.178","6.189","14.003","23.879","12.996","12.965","13.207","13.521","14.053","15.076","15.864"
"AFRI_EAST","End_Use_Transport_AGR_HLF","PJ","3.797","5.176","8.054","10.964","6.997","8.643","2.721","2.804","2.903","2.948","2.953","2.919","2.848"
"AFRI_EAST","End_Use_Transport_OFF_HLF","PJ","6.678","8.075","8.935","10.924","12.492","26.657","36.529","41.255","48.215","57.043","67.485","78.64","90.388"
"AFRI_EAST","End_Use_Transport_OFF_LLF","PJ","2.305","4.159","2.201","2.378","4.253","4.892","6.135","6.908","8.048","9.503","11.228","13.06","14.98"
"AFRI_EAST","End_Use_Transport_NatGas","PJ",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_Coal","PJ",,,,,,,,,,,,,
"AFRI_EAST","Waste_Solid_Municipal","n.a",,,,,,,,,,,,,
"AFRI_EAST","Waste_Solid_Industrial","n.a",,,,,,,,,,,,,
"AFRI_EAST","Waste_Water_Municipal","n.a",,,,,,,,,,,,,
"AFRI_EAST","Waste_Water_Industrial","n.a",,,,,,,,,,,,,
"AFRI_EAST","Unattributed","n.a",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_Coal","PJ",,,,,,,,,,,,,
