"EMF30 sectors",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Pollutant: CO2",,,,,,,,,,,,,,
"Scenario: ECLIPSE_V6b_CLE_base with high emitters added",,,,,,,,,,,,,,
"Region: All EMF Regions",,,,,,,,,,,,,,
"Source: CEDS Calculations",,,,,,,,,,,,,,
"Unit: Mt CO2",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Region","EMF30 kt","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AFRI_EAST","Power_Gen_Coal",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_Coal_Old","1.825","1.913","1.148","1.574","0.654","0.681","0.962","1.453","1.872","1.911","1.931","2.371","2.71"
"AFRI_EAST","Power_Gen_Coal_New",,,"0","0","1.858","1.879","2.553","4.199","7.709","9.338","12.222","18.245","25.387"
"AFRI_EAST","Power_Gen_Coal_IGCC_CCS",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_HLF","4.407","5.576","6.436","8.413","11.587","13.066","17.13","16.834","16.882","17.179","18.422","19.775","21.938"
"AFRI_EAST","Power_Gen_LLF","0.32","0.338","0.221","0.231","0.237","0.13","0.282","0.401","0.333","0.204","0.139","0.123","0.097"
"AFRI_EAST","Power_Gen_HLF_CCS",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_NatGas","0.126","0.62","0","0.679","1.293","1.619","1.897","1.941","3.367","6.452","10.075","15.011","22.13"
"AFRI_EAST","Power_Gen_Bio_Trad",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_Bio_Trad_Old",,,,,,,,,,,,,
"AFRI_EAST","Power_Gen_Bio_Trad_New",,,,,,,,,,,,,
"AFRI_EAST","Transformations_Coal","0.182","0.267",,,,,,,,,,,
"AFRI_EAST","Transformations_HLF","0.609","0.515","0.126","0.286","0.639","0.104","0.226","0.322","0.267","0.163","0.112","0.099","0.078"
"AFRI_EAST","Transformations_HLF_Refinery",,,,,,,,,,,,,
"AFRI_EAST","Transformations_LLF",,,,,,,,,,,,,
"AFRI_EAST","Transformations_NatGas","0.284","0.401",,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Bio_Trad_Heat",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Bio_Trad_Cook",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Services_Bio_Trad_Heat",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Bio_Mod",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_Coal_Heat","0.511","0.483","0.054","0.057","0.084","0.102","0.056","0.136","0.228","0.326","0.429","0.532","0.633"
"AFRI_EAST","End_Use_Residential_Coal_Cook",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Services_Coal_Heat",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Residential_HLF","1.127","1.176","0.549","0.603","0.419","0.603","0.196","0.203","0.838","1.295","1.547","1.792","2.077"
"AFRI_EAST","End_Use_Residential_LLF","2.936","3.373","3.351","3.855","4.884","5.128","6.688","7.825","10.123","13.68","19.027","26.269","35.893"
"AFRI_EAST","End_Use_Residential_NatGas",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Industry_Coal","1.799","1.231","0.61","0.836","2.532","5.064","5.18","7.053","9.754","13.42","18.099","23.596","29.879"
"AFRI_EAST","End_Use_Industry_HLF","4.519","3.957","3.099","3.542","4.472","3.984","4.947","6.54","7.633","8.877","10.415","12.085","13.83"
"AFRI_EAST","End_Use_Industry_LLF","0.142","0.273","0.239","0.24","0.367","0.336","0.421","0.474","0.552","0.652","0.77","0.896","1.028"
"AFRI_EAST","End_Use_Industry_NatGas","0.885","1.496","0.001","0.128","0.657","0.575","0.846","1.149","1.515","1.986","2.573","3.227","3.999"
"AFRI_EAST","End_Use_Industry_Bio_Trad",,,,,,,,,,,,,
"AFRI_EAST","CEMENT","1.946","2.168","2.512","3.433","7.377","12.78","17.136","21.24","27.152","34.218","43.246","51.537","60.442"
"AFRI_EAST","STEEL",,,,,,,,,,,,,
"AFRI_EAST","CUSM",,,,,,,,,,,,,
"AFRI_EAST","PAPER",,,,,,,,,,,,,
"AFRI_EAST","CHEM",,,,,,,,,,,,,
"AFRI_EAST","CHEMBULK",,,,,,,,,,,,,
"AFRI_EAST","AACID",,,,,,,,,,,,,
"AFRI_EAST","NACID",,,,,,,,,,,,,
"AFRI_EAST","Losses_Coal",,,,,,,,,,,,,
"AFRI_EAST","Losses_Prod_Oil","1.729","1.97","1.567","2.622","2.964","2.098","1.931","1.959","1.974","2.018","2.062","2.12","2.192"
"AFRI_EAST","Losses_Prod_Conventional_Gas",,,,,,,,,,,,,
"AFRI_EAST","Losses_Prod_Shale_Gas",,,,,,,,,,,,,
"AFRI_EAST","Losses_Distribution_Use",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_LDT_HLF",,"0.077","1.34","2.194","2.131","2.998","3.765","3.776","3.85","4.212","5.027","6.738","9.402"
"AFRI_EAST","End_Use_Transport_LDT_LLF","2.552","3.013","4.177","5.049","7.31","11.223","13.795","15.055","16.67","18.437","20.875","24.977","31.415"
"AFRI_EAST","End_Use_Transport_HDT_HLF","7.181","7.004","6.358","9.579","15.341","19.778","26.48","30.848","35.965","41.322","47.967","53.059","58.288"
"AFRI_EAST","End_Use_Transport_HDT_LLF",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_MC_LLF","0.451","0.364","0.287","0.425","0.96","1.636","0.89","0.887","0.902","0.924","0.96","1.03","1.084"
"AFRI_EAST","End_Use_Transport_AGR_HLF","0.279","0.38","0.591","0.805","0.513","0.634","0.199","0.205","0.212","0.215","0.216","0.213","0.208"
"AFRI_EAST","End_Use_Transport_OFF_HLF","0.49","0.593","0.656","0.802","0.917","1.954","2.675","3.018","3.524","4.17","4.933","5.749","6.607"
"AFRI_EAST","End_Use_Transport_OFF_LLF","0.158","0.285","0.151","0.163","0.292","0.335","0.42","0.473","0.551","0.65","0.768","0.894","1.025"
"AFRI_EAST","End_Use_Transport_NatGas",,,,,,,,,,,,,
"AFRI_EAST","End_Use_Transport_Coal",,,,,,,,,,,,,
"AFRI_EAST","Waste_Solid_Municipal",,,,,,,,,,,,,
"AFRI_EAST","Waste_Solid_Industrial",,,,,,,,,,,,,
"AFRI_EAST","Waste_Water_Municipal",,,,,,,,,,,,,
"AFRI_EAST","Waste_Water_Industrial",,,,,,,,,,,,,
"AFRI_EAST","Unattributed","1.218","1.474","1.452","3.127","3.391","3.657","1.808","1.962","2.175","2.431","2.725","3.05","3.402"
"AFRI_EAST","SUM","35.675","38.947","34.924","48.644","70.878","90.363","110.482","127.955","154.05","184.081","224.539","273.388","333.742"
"AFRI_NORT","Power_Gen_Coal",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_Coal_Old","2.795","6.191","5.621","5.723","2.441","1.57","0.87","0.206",,,,,
"AFRI_NORT","Power_Gen_Coal_New",,,"2.762","7.175","8.496","15.907","18.428","26.437","32.683","34.37","34.468","35.068","35.204"
"AFRI_NORT","Power_Gen_Coal_IGCC_CCS",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_HLF","29.503","27.923","27.381","35.797","39.544","56.061","43.767","34.608","29.087","28.211","21.237","17.75","13.606"
"AFRI_NORT","Power_Gen_LLF","3.349","3.646","2.986","2.881","3.174","2.341",,,,,,,
"AFRI_NORT","Power_Gen_HLF_CCS",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_NatGas","29.428","39.78","51.049","80.349","97.412","119.538","124.497","133.171","143.644","156.792","171.87","131.528","138.712"
"AFRI_NORT","Power_Gen_Bio_Trad",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_Bio_Trad_Old",,,,,,,,,,,,,
"AFRI_NORT","Power_Gen_Bio_Trad_New",,,,,,,,,,,,,
"AFRI_NORT","Transformations_Coal","3.215","2.641","3.409","3.583","1.484","0.983","1.509","1.726","1.857","1.931","1.963","1.984","1.976"
"AFRI_NORT","Transformations_HLF","11.638","12.577","4.399","8.159","6.4","4.459","1.304","1.268","3.577","6.14","7.855","7.925","7.888"
"AFRI_NORT","Transformations_HLF_Refinery",,,,,,,,,,,,,
"AFRI_NORT","Transformations_LLF",,,,,,,,,,,,,
"AFRI_NORT","Transformations_NatGas","0.57","0.392","0.549","0.387","0.603","1.215","15.624","19.261","23.014","24.355","26.267","27.496","29.097"
"AFRI_NORT","End_Use_Residential_Bio_Trad_Heat",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_Bio_Trad_Cook",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Services_Bio_Trad_Heat",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_Bio_Mod",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_Coal_Heat",,,,,,,"0.008","0.008","0.006","0.006","0.005","0.004","0.004"
"AFRI_NORT","End_Use_Residential_Coal_Cook",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Services_Coal_Heat",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Residential_HLF","1.16","1.408","1.394","2.85","4.246","2.546","12.068","12.945","14.095","15.034","16.051","16.939","17.739"
"AFRI_NORT","End_Use_Residential_LLF","19.526","19.28","24.413","26.409","30.514","30.589","20.143","21.12","22.442","24.088","25.749","27.212","28.512"
"AFRI_NORT","End_Use_Residential_NatGas","2.748","6.116","5.931","9.779","12.597","22.258","32.654","43.19","60.218","79.442","92.669","99.211","105.478"
"AFRI_NORT","End_Use_Industry_Coal","3.012","2.548","2.93","4.447","6.762","8.118","0.709","0.943","1.155","1.343","1.484","1.581","1.644"
"AFRI_NORT","End_Use_Industry_HLF","26.097","23.959","24.36","25.61","25.842","19.673","1.902","2.672","3.886","5.052","5.952","6.465","6.985"
"AFRI_NORT","End_Use_Industry_LLF","0.46","0.539","0.512","0.853","0.646","0.574","14.534","16.192","17.678","16.983","16.161","15.341","14.39"
"AFRI_NORT","End_Use_Industry_NatGas","18.089","16.966","20.797","31.314","34.937","30.292","51.627","58.463","65.157","69.679","74.217","77.431","79.823"
"AFRI_NORT","End_Use_Industry_Bio_Trad",,,,,,,,,,,,,
"AFRI_NORT","CEMENT","15.252","19.296","26.575","31.419","48.48","58.135","68.294","77.686","87.383","94.96","98.804","99.234","98.219"
"AFRI_NORT","STEEL",,,,,,,,,,,,,
"AFRI_NORT","CUSM",,,,,,,,,,,,,
"AFRI_NORT","PAPER",,,,,,,,,,,,,
"AFRI_NORT","CHEM",,,,,,,,,,,,,
"AFRI_NORT","CHEMBULK",,,,,,,,,,,,,
"AFRI_NORT","AACID",,,,,,,,,,,,,
"AFRI_NORT","NACID",,,,,,,,,,,,,
"AFRI_NORT","Losses_Coal",,,,,,,,,,,,,
"AFRI_NORT","Losses_Prod_Oil","44.291","39.331","32.641","33.106","30.711","18.529","19.591","20.592","20.373","21.214","22.789","24.594","26.679"
"AFRI_NORT","Losses_Prod_Conventional_Gas",,,,,,,,,,,,,
"AFRI_NORT","Losses_Prod_Shale_Gas",,,,,,,,,,,,,
"AFRI_NORT","Losses_Distribution_Use",,,,,,,,,,,,,
"AFRI_NORT","End_Use_Transport_LDT_HLF",,"0.628","1.312","2.701","14.143","17.579","22.899","25.122","24.86","22.342","21.179","22.542","23.611"
