"Source","Data.Type","Emission","Region","Sector","Start.Year","End.Year","Source.Comment"
"GAINS_super_emitter-sec_map.csv","Mapping",,"All","Super emitter sectors",,,"Mapping of GAINS super emitter sectors to GAINS regular sectors"
"GAINS_super_emitter-reg_map.csv","Mapping",,"All","Super emitter sectors",,,"Mapping of GAINS super emitter regions to GAINS regular regions"
"Global by region-detail_emf30_activity_noSE.csv","Activity","All","All","All Antro","1990","2050","GAINS update 2020"
"CDB1.1.GAINS_super_emitters.R","Emissions","All","All","All","1990","2050","GAINS emissions data after accounting for super emitters within CEDS_Data script CDB1.1.GAINS_super_emitters.R"
"Global by region-detail_emf30_BC_noSE.csv","Emissions","BC","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global_EV6_high-emitter emissions by EMF30 regions.xlsx","Emissions","BC CO NOx OC VOC","All","All Antro","1990","2050","GAINS update 2020 - super emitters only"
"Global by region-detail_emf30_CH4_noSE.csv","Emissions","CH4","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_CO_noSE.csv","Emissions","CO","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_CO2_noSE.csv","Emissions","CO2","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_NH3_noSE.csv","Emissions","NH3","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_NOx_noSE.csv","Emissions","NOx","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_OC_noSE.csv","Emissions","OC","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_SO2_v2.csv","Emissions","SO2","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
"Global by region-detail_emf30_VOC_noSE.csv","Emissions","NMVOC","All","All Antro","1990","2050","GAINS update 2020 - excludes super emitters"
